expression	H3K27me3	H3K4me3	H3K27ac	H3K36me3
11.2412	5.98	27.12	3.07	4.00
0.757517	5.98	27.12	3.07	4.00
4.57955	5.98	27.12	3.07	4.00
13.6954	5.98	27.12	3.07	4.00
17.2386	3.66	17.55	5.19	1.67
7.82973	1.42	9.73	5.80	16.23
1.16065	1.42	9.73	5.80	16.23
6.9459	1.42	9.73	5.80	16.23
0.875694	1.42	9.73	5.80	16.23
32.4516	1.42	9.73	5.80	16.23
4.99406	1.42	9.73	5.80	16.23
4.57955	1.42	9.73	5.80	16.23
13.6954	1.42	9.73	5.80	16.23
3.33002	1.42	9.73	5.80	16.23
117.9	2.34	17.26	3.16	2.83
8.19231	2.34	17.26	3.16	2.83
17.2386	2.34	17.26	3.16	2.83
117.9	2.04	21.45	13.26	1.40
8.19231	2.04	21.45	13.26	1.40
17.2386	2.04	21.45	13.26	1.40
0	2.62	14.74	5.59	1.11
117.9	2.62	14.74	5.59	1.11
0	0.73	31.56	6.55	0.98
117.9	0.73	31.56	6.55	0.98
17.2386	0.73	31.56	6.55	0.98
6.9459	0.76	10.27	7.67	6.34
73.0681	0.76	10.27	7.67	6.34
0.875694	0.76	10.27	7.67	6.34
27.6677	0.76	10.27	7.67	6.34
32.4516	0.76	10.27	7.67	6.34
4.99406	0.76	10.27	7.67	6.34
4.57955	0.76	10.27	7.67	6.34
13.6954	0.76	10.27	7.67	6.34
6.9459	0.99	22.60	6.73	16.76
73.0681	0.99	22.60	6.73	16.76
0.875694	0.99	22.60	6.73	16.76
27.6677	0.99	22.60	6.73	16.76
32.4516	0.99	22.60	6.73	16.76
4.99406	0.99	22.60	6.73	16.76
4.57955	0.99	22.60	6.73	16.76
13.6954	0.99	22.60	6.73	16.76
0.0707447	1.02	8.44	3.79	2.53
7.82973	0.99	19.81	8.69	1.52
1.16065	0.99	19.81	8.69	1.52
6.9459	0.99	19.81	8.69	1.52
73.0681	0.99	19.81	8.69	1.52
0.875694	0.99	19.81	8.69	1.52
0.757517	0.99	19.81	8.69	1.52
32.4516	0.99	19.81	8.69	1.52
4.99406	0.99	19.81	8.69	1.52
4.57955	0.99	19.81	8.69	1.52
3.33002	0.99	19.81	8.69	1.52
7.82973	1.21	3.83	9.24	1.18
1.16065	1.21	3.83	9.24	1.18
6.9459	1.21	3.83	9.24	1.18
73.0681	1.21	3.83	9.24	1.18
0.875694	1.21	3.83	9.24	1.18
27.6677	1.21	3.83	9.24	1.18
0.757517	1.21	3.83	9.24	1.18
32.4516	1.21	3.83	9.24	1.18
4.99406	1.21	3.83	9.24	1.18
4.57955	1.21	3.83	9.24	1.18
3.33002	1.21	3.83	9.24	1.18
7.82973	3.75	27.88	3.72	1.75
1.16065	3.75	27.88	3.72	1.75
6.9459	3.75	27.88	3.72	1.75
73.0681	3.75	27.88	3.72	1.75
0.875694	3.75	27.88	3.72	1.75
27.6677	3.75	27.88	3.72	1.75
0.757517	3.75	27.88	3.72	1.75
32.4516	3.75	27.88	3.72	1.75
4.99406	3.75	27.88	3.72	1.75
4.57955	3.75	27.88	3.72	1.75
3.33002	3.75	27.88	3.72	1.75
7.82973	8.03	15.89	3.50	2.77
1.16065	8.03	15.89	3.50	2.77
26.5154	8.03	15.89	3.50	2.77
6.9459	8.03	15.89	3.50	2.77
73.0681	8.03	15.89	3.50	2.77
0.875694	8.03	15.89	3.50	2.77
27.6677	8.03	15.89	3.50	2.77
0.757517	8.03	15.89	3.50	2.77
32.4516	8.03	15.89	3.50	2.77
13.6954	8.03	15.89	3.50	2.77
3.33002	8.03	15.89	3.50	2.77
7.82973	0.62	8.66	8.87	1.05
1.16065	0.62	8.66	8.87	1.05
6.9459	0.62	8.66	8.87	1.05
73.0681	0.62	8.66	8.87	1.05
27.6677	0.62	8.66	8.87	1.05
0.757517	0.62	8.66	8.87	1.05
4.99406	0.62	8.66	8.87	1.05
5.07361	0.62	8.66	8.87	1.05
3.33002	0.62	8.66	8.87	1.05
7.82973	3.00	11.71	5.85	6.51
1.16065	3.00	11.71	5.85	6.51
6.9459	3.00	11.71	5.85	6.51
73.0681	3.00	11.71	5.85	6.51
27.6677	3.00	11.71	5.85	6.51
0.757517	3.00	11.71	5.85	6.51
4.57955	3.00	11.71	5.85	6.51
5.07361	3.00	11.71	5.85	6.51
3.33002	3.00	11.71	5.85	6.51
1.16065	2.80	27.08	3.76	0.90
26.5154	2.80	27.08	3.76	0.90
6.9459	2.80	27.08	3.76	0.90
73.0681	2.80	27.08	3.76	0.90
5.85843	2.80	27.08	3.76	0.90
27.6677	2.80	27.08	3.76	0.90
0.757517	2.80	27.08	3.76	0.90
58.9456	2.80	27.08	3.76	0.90
5.07361	2.80	27.08	3.76	0.90
17.0484	2.80	27.08	3.76	0.90
1.16065	0.82	24.52	11.75	0.51
26.5154	0.82	24.52	11.75	0.51
1.16917	0.82	24.52	11.75	0.51
6.9459	0.82	24.52	11.75	0.51
73.0681	0.82	24.52	11.75	0.51
5.85843	0.82	24.52	11.75	0.51
27.6677	0.82	24.52	11.75	0.51
0.757517	0.82	24.52	11.75	0.51
58.9456	0.82	24.52	11.75	0.51
5.07361	0.82	24.52	11.75	0.51
17.0484	0.82	24.52	11.75	0.51
1.16065	1.95	18.40	3.86	0.71
26.5154	1.95	18.40	3.86	0.71
1.16917	1.95	18.40	3.86	0.71
6.9459	1.95	18.40	3.86	0.71
73.0681	1.95	18.40	3.86	0.71
5.85843	1.95	18.40	3.86	0.71
27.6677	1.95	18.40	3.86	0.71
0.757517	1.95	18.40	3.86	0.71
58.9456	1.95	18.40	3.86	0.71
5.07361	1.95	18.40	3.86	0.71
17.0484	1.95	18.40	3.86	0.71
26.5154	2.91	2.31	11.06	10.35
1.16917	2.91	2.31	11.06	10.35
5.85843	2.91	2.31	11.06	10.35
27.6677	2.91	2.31	11.06	10.35
58.9456	2.91	2.31	11.06	10.35
5.07361	2.91	2.31	11.06	10.35
17.0484	2.91	2.31	11.06	10.35
26.5154	1.37	4.64	10.81	2.15
1.16917	1.37	4.64	10.81	2.15
5.85843	1.37	4.64	10.81	2.15
27.6677	1.37	4.64	10.81	2.15
58.9456	1.37	4.64	10.81	2.15
5.07361	1.37	4.64	10.81	2.15
17.0484	1.37	4.64	10.81	2.15
26.5154	2.26	59.06	6.50	0.87
1.16917	2.26	59.06	6.50	0.87
5.85843	2.26	59.06	6.50	0.87
27.6677	2.26	59.06	6.50	0.87
5.78054	2.26	59.06	6.50	0.87
58.9456	2.26	59.06	6.50	0.87
5.07361	2.26	59.06	6.50	0.87
17.0484	2.26	59.06	6.50	0.87
0.0582857	35.58	20.36	3.88	6.87
0.00319896	35.58	20.36	3.88	6.87
1.04608	35.58	20.36	3.88	6.87
0.460465	35.58	20.36	3.88	6.87
60.0381	0.85	14.91	4.20	4.24
60.0381	0.89	2.35	9.67	4.38
60.0381	0.82	8.88	11.18	4.66
60.0381	4.18	10.36	7.26	1.80
60.0381	3.55	23.60	10.04	2.49
60.0381	2.10	18.88	14.16	2.01
0.00651326	16.13	39.29	4.80	3.39
60.0381	2.31	18.11	2.63	1.57
60.0381	7.09	35.03	2.70	2.67
60.0381	0.95	21.70	4.60	1.20
11.032	1.36	28.51	4.81	2.18
11.032	5.02	13.80	2.55	2.29
43.4942	5.02	13.80	2.55	2.29
11.032	3.25	17.38	9.26	2.52
43.4942	3.25	17.38	9.26	2.52
11.032	1.42	17.26	3.48	2.29
11.032	0.95	18.86	3.50	0.67
43.4942	0.95	18.86	3.50	0.67
11.032	3.99	45.02	3.68	1.61
43.4942	3.99	45.02	3.68	1.61
11.032	1.21	13.07	8.61	3.56
43.4942	1.21	13.07	8.61	3.56
51.4661	3.05	20.97	3.36	1.77
43.4942	3.05	20.97	3.36	1.77
51.4661	1.06	5.77	7.28	0.39
43.4942	1.06	5.77	7.28	0.39
51.4661	5.14	26.81	4.60	1.72
43.4942	5.14	26.81	4.60	1.72
51.4661	1.12	37.25	10.68	0.95
43.4942	1.12	37.25	10.68	0.95
51.4661	3.72	18.93	7.52	2.71
43.4942	3.72	18.93	7.52	2.71
51.4661	5.30	16.72	4.34	3.25
43.4942	5.30	16.72	4.34	3.25
43.4942	2.39	5.51	14.55	5.06
51.4661	0.69	19.46	17.01	1.30
43.4942	0.69	19.46	17.01	1.30
43.4942	3.31	9.68	2.38	0.79
43.4942	6.54	15.44	5.80	4.06
51.4661	2.21	17.69	9.07	1.77
43.4942	2.21	17.69	9.07	1.77
51.4661	1.73	4.99	10.02	2.16
43.4942	1.73	4.99	10.02	2.16
43.4942	1.28	30.23	9.40	1.93
51.4661	1.82	16.28	7.56	2.49
43.4942	1.82	16.28	7.56	2.49
51.4661	4.40	17.15	2.05	1.95
51.4661	2.74	26.77	3.07	1.07
51.4661	2.93	21.16	9.16	2.38
4.9787	3.22	9.86	12.74	2.92
15.7214	3.22	9.86	12.74	2.92
14.0581	3.22	9.86	12.74	2.92
4.9787	3.64	8.75	2.51	1.79
15.7214	3.64	8.75	2.51	1.79
14.0581	3.64	8.75	2.51	1.79
0.0712912	1.13	12.83	9.98	2.23
0.108039	1.13	12.83	9.98	2.23
20.3931	1.13	12.83	9.98	2.23
324.826	1.13	12.83	9.98	2.23
2.44547	1.13	12.83	9.98	2.23
858.337	1.13	12.83	9.98	2.23
1.88093	1.13	12.83	9.98	2.23
2.66512	1.13	12.83	9.98	2.23
64.3562	1.13	12.83	9.98	2.23
32.3278	1.13	12.83	9.98	2.23
26.1423	1.13	12.83	9.98	2.23
1.34048	1.13	12.83	9.98	2.23
5.22169	1.13	12.83	9.98	2.23
14.6187	1.13	12.83	9.98	2.23
124.71	1.13	12.83	9.98	2.23
0.0712912	4.15	30.42	6.29	1.67
0.108039	4.15	30.42	6.29	1.67
20.3931	4.15	30.42	6.29	1.67
324.826	4.15	30.42	6.29	1.67
2.44547	4.15	30.42	6.29	1.67
858.337	4.15	30.42	6.29	1.67
1.88093	4.15	30.42	6.29	1.67
2.66512	4.15	30.42	6.29	1.67
64.3562	4.15	30.42	6.29	1.67
32.3278	4.15	30.42	6.29	1.67
26.1423	4.15	30.42	6.29	1.67
5.22169	4.15	30.42	6.29	1.67
14.6187	4.15	30.42	6.29	1.67
0.0712912	1.97	16.46	5.67	5.06
0.108039	1.97	16.46	5.67	5.06
20.3931	1.97	16.46	5.67	5.06
324.826	1.97	16.46	5.67	5.06
2.44547	1.97	16.46	5.67	5.06
858.337	1.97	16.46	5.67	5.06
1.88093	1.97	16.46	5.67	5.06
2.66512	1.97	16.46	5.67	5.06
64.3562	1.97	16.46	5.67	5.06
32.3278	1.97	16.46	5.67	5.06
1.34048	1.97	16.46	5.67	5.06
29.3651	1.97	16.46	5.67	5.06
5.22169	1.97	16.46	5.67	5.06
6.46401	1.97	16.46	5.67	5.06
41.4267	1.97	16.46	5.67	5.06
14.6187	1.97	16.46	5.67	5.06
124.71	1.97	16.46	5.67	5.06
6.88555	6.57	26.09	1.56	2.88
4.16173	6.57	26.09	1.56	2.88
5.21793	6.57	26.09	1.56	2.88
15.884	6.57	26.09	1.56	2.88
6.88555	4.75	39.86	3.96	1.33
4.16173	4.75	39.86	3.96	1.33
5.21793	4.75	39.86	3.96	1.33
15.884	4.75	39.86	3.96	1.33
6.88555	1.40	6.41	11.31	2.55
5.21793	1.40	6.41	11.31	2.55
15.884	1.40	6.41	11.31	2.55
5.21793	1.72	13.50	5.89	2.80
15.884	1.72	13.50	5.89	2.80
0.0712912	3.55	11.10	4.17	1.68
858.337	3.55	11.10	4.17	1.68
1.88093	3.55	11.10	4.17	1.68
26.1423	3.55	11.10	4.17	1.68
29.3651	3.55	11.10	4.17	1.68
5.22169	3.55	11.10	4.17	1.68
6.46401	3.55	11.10	4.17	1.68
41.4267	3.55	11.10	4.17	1.68
0.0712912	6.36	13.66	2.58	2.82
858.337	6.36	13.66	2.58	2.82
1.88093	6.36	13.66	2.58	2.82
26.1423	6.36	13.66	2.58	2.82
29.3651	6.36	13.66	2.58	2.82
5.22169	6.36	13.66	2.58	2.82
6.46401	6.36	13.66	2.58	2.82
41.4267	6.36	13.66	2.58	2.82
0.0712912	1.34	6.53	14.64	2.18
20.3931	1.34	6.53	14.64	2.18
2.44547	1.34	6.53	14.64	2.18
858.337	1.34	6.53	14.64	2.18
1.88093	1.34	6.53	14.64	2.18
64.3562	1.34	6.53	14.64	2.18
26.1423	1.34	6.53	14.64	2.18
29.3651	1.34	6.53	14.64	2.18
5.22169	1.34	6.53	14.64	2.18
6.46401	1.34	6.53	14.64	2.18
41.4267	1.34	6.53	14.64	2.18
2.81525	1.34	6.53	14.64	2.18
0.0712912	2.08	6.44	5.14	2.21
7.4496	2.08	6.44	5.14	2.21
26.1423	2.08	6.44	5.14	2.21
29.3651	2.08	6.44	5.14	2.21
6.46401	2.08	6.44	5.14	2.21
41.4267	2.08	6.44	5.14	2.21
20.412	2.08	6.44	5.14	2.21
2.81525	2.08	6.44	5.14	2.21
76.9933	2.08	6.44	5.14	2.21
4.3385	0.80	11.58	4.45	2.46
5.2304	0.80	11.58	4.45	2.46
4.3385	1.67	49.89	4.77	1.17
5.2304	1.67	49.89	4.77	1.17
0.0712912	0.94	25.99	11.67	3.45
1.88093	0.94	25.99	11.67	3.45
7.4496	0.94	25.99	11.67	3.45
29.3651	0.94	25.99	11.67	3.45
6.46401	0.94	25.99	11.67	3.45
41.4267	0.94	25.99	11.67	3.45
20.412	0.94	25.99	11.67	3.45
2.81525	0.94	25.99	11.67	3.45
76.9933	0.94	25.99	11.67	3.45
1.18442	13.01	62.49	3.63	3.01
0.328017	13.01	62.49	3.63	3.01
7.4496	7.96	20.02	3.12	3.32
29.3651	7.96	20.02	3.12	3.32
6.46401	7.96	20.02	3.12	3.32
41.4267	7.96	20.02	3.12	3.32
20.412	7.96	20.02	3.12	3.32
76.9933	7.96	20.02	3.12	3.32
4.3385	1.56	10.59	13.35	2.87
5.2304	1.56	10.59	13.35	2.87
4.3385	3.17	14.87	4.27	2.23
5.2304	3.17	14.87	4.27	2.23
4.3385	2.13	16.78	2.99	3.11
5.2304	2.13	16.78	2.99	3.11
0.0944139	9.71	7.54	2.21	2.18
0.473667	9.71	7.54	2.21	2.18
7.4496	2.96	7.36	6.00	2.18
6.46401	2.96	7.36	6.00	2.18
20.412	2.96	7.36	6.00	2.18
2.81525	2.96	7.36	6.00	2.18
76.9933	2.96	7.36	6.00	2.18
1.18442	7.68	16.84	3.78	4.70
1.31558	1.15	11.32	9.32	1.55
1.18442	13.15	18.25	1.99	2.10
0.328017	13.15	18.25	1.99	2.10
1.31558	9.03	11.15	4.70	3.31
1.31558	0.73	8.32	2.59	0.98
0.123102	0.73	8.32	2.59	0.98
5.07771	0.73	8.32	2.59	0.98
0.123102	1.36	21.01	5.28	2.02
5.07771	1.36	21.01	5.28	2.02
9.30506	1.36	21.01	5.28	2.02
0.123102	5.25	30.91	4.60	2.18
5.07771	5.25	30.91	4.60	2.18
9.30506	5.25	30.91	4.60	2.18
1.18442	43.67	86.94	4.12	4.12
0.328017	43.67	86.94	4.12	4.12
0.902884	1.29	36.13	4.68	1.63
0.123102	1.29	36.13	4.68	1.63
5.07771	1.29	36.13	4.68	1.63
9.30506	1.29	36.13	4.68	1.63
1.18442	19.74	24.64	5.18	3.51
0.328017	19.74	24.64	5.18	3.51
1.18442	19.35	12.52	2.44	2.42
0.328017	19.35	12.52	2.44	2.42
1.18442	27.15	35.68	2.94	5.94
24.2759	2.48	13.65	9.99	2.77
7.4496	2.48	13.65	9.99	2.77
12.5799	2.48	13.65	9.99	2.77
29.3651	2.48	13.65	9.99	2.77
20.1043	2.48	13.65	9.99	2.77
0	2.48	13.65	9.99	2.77
23.3775	2.48	13.65	9.99	2.77
47.0285	2.48	13.65	9.99	2.77
6.46401	2.48	13.65	9.99	2.77
20.412	2.48	13.65	9.99	2.77
2.81525	2.48	13.65	9.99	2.77
0.339371	2.48	13.65	9.99	2.77
76.9933	2.48	13.65	9.99	2.77
24.2759	1.35	3.77	11.30	1.74
7.4496	1.35	3.77	11.30	1.74
12.5799	1.35	3.77	11.30	1.74
29.3651	1.35	3.77	11.30	1.74
20.1043	1.35	3.77	11.30	1.74
0	1.35	3.77	11.30	1.74
23.3775	1.35	3.77	11.30	1.74
47.0285	1.35	3.77	11.30	1.74
20.412	1.35	3.77	11.30	1.74
2.81525	1.35	3.77	11.30	1.74
0.339371	1.35	3.77	11.30	1.74
76.9933	1.35	3.77	11.30	1.74
24.2759	1.89	10.79	10.75	2.82
12.5799	1.89	10.79	10.75	2.82
20.1043	1.89	10.79	10.75	2.82
0	1.89	10.79	10.75	2.82
23.3775	1.89	10.79	10.75	2.82
20.412	1.89	10.79	10.75	2.82
0.339371	1.89	10.79	10.75	2.82
7.4496	1.52	10.83	9.31	5.23
12.5799	1.52	10.83	9.31	5.23
20.1043	1.52	10.83	9.31	5.23
0	1.52	10.83	9.31	5.23
23.3775	1.52	10.83	9.31	5.23
20.412	1.52	10.83	9.31	5.23
0.339371	1.52	10.83	9.31	5.23
76.9933	1.52	10.83	9.31	5.23
24.2759	1.53	4.68	11.91	6.08
7.4496	1.53	4.68	11.91	6.08
12.5799	1.53	4.68	11.91	6.08
20.1043	1.53	4.68	11.91	6.08
0	1.53	4.68	11.91	6.08
23.3775	1.53	4.68	11.91	6.08
20.412	1.53	4.68	11.91	6.08
0.339371	1.53	4.68	11.91	6.08
76.9933	1.53	4.68	11.91	6.08
24.2759	0.90	3.07	6.14	7.01
7.4496	0.90	3.07	6.14	7.01
12.5799	0.90	3.07	6.14	7.01
20.1043	0.90	3.07	6.14	7.01
0	0.90	3.07	6.14	7.01
23.3775	0.90	3.07	6.14	7.01
47.0285	0.90	3.07	6.14	7.01
20.412	0.90	3.07	6.14	7.01
0.339371	0.90	3.07	6.14	7.01
76.9933	0.90	3.07	6.14	7.01
0	7.80	10.21	2.99	3.47
0.569169	2.04	7.72	4.89	3.96
0.731019	2.04	7.72	4.89	3.96
0	2.04	7.72	4.89	3.96
0.569169	4.00	7.04	2.40	2.12
0.731019	4.00	7.04	2.40	2.12
0	4.00	7.04	2.40	2.12
0.569169	2.06	12.28	3.12	1.86
0.731019	2.06	12.28	3.12	1.86
0.569169	2.97	13.64	3.42	1.55
0.731019	2.97	13.64	3.42	1.55
0	2.97	13.64	3.42	1.55
0.22146	33.93	4.82	1.72	1.94
0.00204473	33.93	4.82	1.72	1.94
33.7569	0.89	1.66	10.63	12.98
14.5261	0.89	1.66	10.63	12.98
60.296	0.89	1.66	10.63	12.98
24.2759	0.89	1.66	10.63	12.98
1290.26	0.89	1.66	10.63	12.98
12.5799	0.89	1.66	10.63	12.98
48.4695	0.89	1.66	10.63	12.98
47.0285	0.89	1.66	10.63	12.98
11.7774	0.89	1.66	10.63	12.98
20.412	0.89	1.66	10.63	12.98
0.339371	0.89	1.66	10.63	12.98
6.42231	0.89	1.66	10.63	12.98
6.35568	0.89	1.66	10.63	12.98
5.44847	0.89	1.66	10.63	12.98
17.3305	0.89	1.66	10.63	12.98
7.28376	0.89	1.66	10.63	12.98
33.7569	1.06	2.09	8.05	2.01
14.5261	1.06	2.09	8.05	2.01
60.296	1.06	2.09	8.05	2.01
24.2759	1.06	2.09	8.05	2.01
1290.26	1.06	2.09	8.05	2.01
48.4695	1.06	2.09	8.05	2.01
47.0285	1.06	2.09	8.05	2.01
11.7774	1.06	2.09	8.05	2.01
6.42231	1.06	2.09	8.05	2.01
6.35568	1.06	2.09	8.05	2.01
7.84063	1.06	2.09	8.05	2.01
17.3305	1.06	2.09	8.05	2.01
7.28376	1.06	2.09	8.05	2.01
33.7569	1.22	25.69	10.22	2.73
14.5261	1.22	25.69	10.22	2.73
24.2759	1.22	25.69	10.22	2.73
1290.26	1.22	25.69	10.22	2.73
48.4695	1.22	25.69	10.22	2.73
47.0285	1.22	25.69	10.22	2.73
11.7774	1.22	25.69	10.22	2.73
6.42231	1.22	25.69	10.22	2.73
6.35568	1.22	25.69	10.22	2.73
5.44847	1.22	25.69	10.22	2.73
7.28376	1.22	25.69	10.22	2.73
33.7569	5.51	2.93	10.04	3.36
14.5261	5.51	2.93	10.04	3.36
60.296	5.51	2.93	10.04	3.36
24.2759	5.51	2.93	10.04	3.36
1290.26	5.51	2.93	10.04	3.36
48.4695	5.51	2.93	10.04	3.36
47.0285	5.51	2.93	10.04	3.36
11.7774	5.51	2.93	10.04	3.36
6.42231	5.51	2.93	10.04	3.36
6.35568	5.51	2.93	10.04	3.36
5.44847	5.51	2.93	10.04	3.36
7.84063	5.51	2.93	10.04	3.36
17.3305	5.51	2.93	10.04	3.36
7.28376	5.51	2.93	10.04	3.36
33.7569	0.79	16.47	7.61	1.18
14.5261	0.79	16.47	7.61	1.18
60.296	0.79	16.47	7.61	1.18
24.2759	0.79	16.47	7.61	1.18
1290.26	0.79	16.47	7.61	1.18
48.4695	0.79	16.47	7.61	1.18
47.0285	0.79	16.47	7.61	1.18
11.7774	0.79	16.47	7.61	1.18
6.42231	0.79	16.47	7.61	1.18
6.35568	0.79	16.47	7.61	1.18
5.44847	0.79	16.47	7.61	1.18
7.84063	0.79	16.47	7.61	1.18
17.3305	0.79	16.47	7.61	1.18
7.28376	0.79	16.47	7.61	1.18
33.7569	2.71	8.95	5.08	2.37
14.5261	2.71	8.95	5.08	2.37
60.296	2.71	8.95	5.08	2.37
24.2759	2.71	8.95	5.08	2.37
1290.26	2.71	8.95	5.08	2.37
12.5799	2.71	8.95	5.08	2.37
48.4695	2.71	8.95	5.08	2.37
47.0285	2.71	8.95	5.08	2.37
11.7774	2.71	8.95	5.08	2.37
0.339371	2.71	8.95	5.08	2.37
6.42231	2.71	8.95	5.08	2.37
6.35568	2.71	8.95	5.08	2.37
5.44847	2.71	8.95	5.08	2.37
7.84063	2.71	8.95	5.08	2.37
17.3305	2.71	8.95	5.08	2.37
7.28376	2.71	8.95	5.08	2.37
14.5261	2.80	52.56	6.79	5.03
60.296	2.80	52.56	6.79	5.03
1290.26	2.80	52.56	6.79	5.03
48.4695	2.80	52.56	6.79	5.03
47.0285	2.80	52.56	6.79	5.03
11.7774	2.80	52.56	6.79	5.03
6.42231	2.80	52.56	6.79	5.03
6.35568	2.80	52.56	6.79	5.03
5.44847	2.80	52.56	6.79	5.03
7.84063	2.80	52.56	6.79	5.03
17.3305	2.80	52.56	6.79	5.03
7.28376	2.80	52.56	6.79	5.03
1.91558	1.31	12.64	5.79	1.82
2.55948	1.31	12.64	5.79	1.82
1.65242	1.31	12.64	5.79	1.82
3.76076	1.31	12.64	5.79	1.82
33.7569	1.45	13.74	6.55	2.13
14.5261	1.45	13.74	6.55	2.13
60.296	1.45	13.74	6.55	2.13
1290.26	1.45	13.74	6.55	2.13
48.4695	1.45	13.74	6.55	2.13
47.0285	1.45	13.74	6.55	2.13
11.7774	1.45	13.74	6.55	2.13
6.42231	1.45	13.74	6.55	2.13
6.35568	1.45	13.74	6.55	2.13
5.44847	1.45	13.74	6.55	2.13
7.84063	1.45	13.74	6.55	2.13
17.3305	1.45	13.74	6.55	2.13
7.28376	1.45	13.74	6.55	2.13
1.91558	0.27	9.21	6.30	1.56
6.87559	2.67	12.25	5.47	1.33
29.4491	2.67	12.25	5.47	1.33
56.9566	2.67	12.25	5.47	1.33
9.41662	5.99	33.62	3.69	1.48
6.05813	5.99	33.62	3.69	1.48
6.87559	5.99	33.62	3.69	1.48
3.09176	5.99	33.62	3.69	1.48
31.7151	5.99	33.62	3.69	1.48
29.4491	5.99	33.62	3.69	1.48
56.9566	5.99	33.62	3.69	1.48
9.41662	1.54	88.75	13.67	3.07
6.05813	1.54	88.75	13.67	3.07
6.87559	1.54	88.75	13.67	3.07
20.9539	1.54	88.75	13.67	3.07
3.09176	1.54	88.75	13.67	3.07
2.33531	1.54	88.75	13.67	3.07
7.17073	1.54	88.75	13.67	3.07
31.7151	1.54	88.75	13.67	3.07
140.852	1.54	88.75	13.67	3.07
29.4491	1.54	88.75	13.67	3.07
284.981	1.54	88.75	13.67	3.07
56.9566	1.54	88.75	13.67	3.07
2.00817	1.54	88.75	13.67	3.07
554.647	1.62	6.04	13.80	1.30
6.05813	1.62	6.04	13.80	1.30
6.87559	1.62	6.04	13.80	1.30
20.9539	1.62	6.04	13.80	1.30
2.33531	1.62	6.04	13.80	1.30
33.5065	1.62	6.04	13.80	1.30
7.17073	1.62	6.04	13.80	1.30
58.7519	1.62	6.04	13.80	1.30
31.7151	1.62	6.04	13.80	1.30
140.852	1.62	6.04	13.80	1.30
62.3174	1.62	6.04	13.80	1.30
284.981	1.62	6.04	13.80	1.30
2.00817	1.62	6.04	13.80	1.30
2.33531	5.58	11.97	4.39	1.77
58.7519	5.58	11.97	4.39	1.77
284.981	5.58	11.97	4.39	1.77
554.647	1.80	17.04	7.17	2.40
2.33531	1.80	17.04	7.17	2.40
58.7519	1.80	17.04	7.17	2.40
284.981	1.80	17.04	7.17	2.40
554.647	8.61	17.67	1.61	2.38
2.33531	8.61	17.67	1.61	2.38
58.7519	8.61	17.67	1.61	2.38
62.3174	8.61	17.67	1.61	2.38
284.981	8.61	17.67	1.61	2.38
554.647	4.78	10.78	4.21	2.71
2.33531	4.78	10.78	4.21	2.71
13.2407	4.78	10.78	4.21	2.71
33.5065	4.78	10.78	4.21	2.71
58.7519	4.78	10.78	4.21	2.71
62.3174	4.78	10.78	4.21	2.71
284.981	4.78	10.78	4.21	2.71
0.10739	0.95	5.48	10.76	1.06
554.647	0.95	5.48	10.76	1.06
2.33531	0.95	5.48	10.76	1.06
13.2407	0.95	5.48	10.76	1.06
33.5065	0.95	5.48	10.76	1.06
58.7519	0.95	5.48	10.76	1.06
62.3174	0.95	5.48	10.76	1.06
15.4951	0.95	5.48	10.76	1.06
0.10739	0.45	16.00	9.38	17.89
554.647	0.45	16.00	9.38	17.89
13.2407	0.45	16.00	9.38	17.89
33.5065	0.45	16.00	9.38	17.89
58.7519	0.45	16.00	9.38	17.89
62.3174	0.45	16.00	9.38	17.89
40.4227	0.45	16.00	9.38	17.89
15.4951	0.45	16.00	9.38	17.89
0.10739	1.56	1.84	8.33	13.46
554.647	1.56	1.84	8.33	13.46
13.2407	1.56	1.84	8.33	13.46
33.5065	1.56	1.84	8.33	13.46
58.7519	1.56	1.84	8.33	13.46
62.3174	1.56	1.84	8.33	13.46
15.4951	1.56	1.84	8.33	13.46
0.10739	1.55	7.19	10.30	3.65
554.647	1.55	7.19	10.30	3.65
2.33531	1.55	7.19	10.30	3.65
13.2407	1.55	7.19	10.30	3.65
33.5065	1.55	7.19	10.30	3.65
58.7519	1.55	7.19	10.30	3.65
62.3174	1.55	7.19	10.30	3.65
15.4951	1.55	7.19	10.30	3.65
0.10739	0.70	2.29	10.99	6.50
9.08962	0.70	2.29	10.99	6.50
554.647	0.70	2.29	10.99	6.50
13.2407	0.70	2.29	10.99	6.50
33.5065	0.70	2.29	10.99	6.50
58.7519	0.70	2.29	10.99	6.50
62.3174	0.70	2.29	10.99	6.50
15.4951	0.70	2.29	10.99	6.50
0.10739	0.98	4.42	9.39	3.30
9.08962	0.98	4.42	9.39	3.30
554.647	0.98	4.42	9.39	3.30
13.2407	0.98	4.42	9.39	3.30
33.5065	0.98	4.42	9.39	3.30
58.7519	0.98	4.42	9.39	3.30
62.3174	0.98	4.42	9.39	3.30
40.4227	0.98	4.42	9.39	3.30
15.4951	0.98	4.42	9.39	3.30
9.08962	1.25	8.68	19.02	2.16
40.4227	1.25	8.68	19.02	2.16
76.6415	3.00	28.87	3.96	1.53
76.6415	5.11	25.68	5.57	3.02
218.445	5.11	25.68	5.57	3.02
236.104	5.11	25.68	5.57	3.02
5.21413	2.13	5.58	7.00	2.51
0.355698	2.13	5.58	7.00	2.51
0	2.13	5.58	7.00	2.51
