expression	H3K27me3	H3K4me3	H3K27ac	H3K36me3
9.15788	1.77	150.37	8.54	2.66
1.66702	6.35	75.43	5.79	3.89
92.5769	1.12	44.78	15.59	4.38
43.439	1.29	85.40	11.69	3.96
90.0813	1.21	42.79	11.64	8.50
0.0350614	17.69	18.58	2.25	1.62
5.09234	4.32	96.94	6.71	3.70
0.124517	27.83	52.36	2.56	2.70
9.06412	1.50	90.00	4.31	2.09
13.6954	2.15	125.26	9.40	2.92
44.1219	1.52	63.32	7.87	2.19
0.0986805	16.83	130.91	5.35	2.20
5.56975	4.28	44.77	5.83	2.87
30.9713	1.93	80.75	5.24	1.52
5.6782	1.93	80.75	5.24	1.52
15.3727	1.49	58.73	13.31	7.61
26.7951	2.04	93.58	5.32	1.83
4.07287	2.04	93.58	5.32	1.83
11.0203	0.71	55.92	7.03	1.98
2.10278	1.00	97.92	6.52	1.16
7.73611	2.06	45.73	4.93	2.26
10.1349	1.71	91.28	10.53	2.92
0.0381208	25.03	38.02	3.19	2.69
34.411	1.33	133.45	9.71	1.88
27.1695	0.89	135.81	7.42	3.52
633.772	0.89	135.81	7.42	3.52
1.74318	29.69	64.24	3.03	3.44
4.15536	2.32	134.89	9.74	1.26
17.2386	1.66	58.29	8.28	1.64
4.57955	1.38	70.39	8.30	2.06
8.19231	3.98	122.96	9.36	2.02
117.9	0.67	84.75	7.72	1.27
0	3.12	22.80	1.88	1.04
0.0707447	4.16	69.14	6.30	1.40
4.99406	1.36	34.41	8.71	9.40
0.875694	1.12	63.93	11.74	9.85
32.4516	1.12	63.93	11.74	9.85
6.9459	3.80	32.90	6.08	1.97
7.82973	2.93	71.54	5.96	1.87
3.33002	2.93	71.54	5.96	1.87
1.16065	3.51	72.67	3.33	2.52
73.0681	1.14	42.79	9.03	5.32
0.757517	6.27	73.45	3.92	1.91
27.6677	1.18	107.78	6.98	1.15
0.00319896	32.47	5.04	3.01	2.17
5.07361	2.57	83.59	5.54	1.38
26.5154	2.50	92.88	5.40	3.14
1.04608	16.00	19.51	6.09	3.25
0.0582857	30.80	23.28	5.27	4.02
0.460465	34.72	69.90	5.15	4.02
17.0484	2.15	90.38	5.93	2.82
1.16917	5.89	22.13	3.35	2.82
58.9456	0.85	88.02	8.09	1.73
5.85843	4.96	112.83	7.51	2.37
5.78054	3.26	83.77	8.63	6.48
124.71	1.40	78.18	7.84	4.20
1.34048	5.79	27.88	4.61	2.87
60.0381	1.92	94.67	6.94	2.64
11.032	1.10	185.58	8.03	1.20
43.4942	1.22	80.94	12.66	2.53
51.4661	0.65	191.45	11.37	2.39
324.826	1.40	121.39	11.95	5.52
32.3278	1.40	121.39	11.95	5.52
2.66512	1.28	96.99	8.42	3.30
14.6187	1.28	96.99	8.42	3.30
15.7214	3.68	121.92	6.17	2.15
4.9787	1.17	117.44	10.59	0.89
14.0581	1.17	117.44	10.59	0.89
0.108039	0.49	31.37	10.28	0.79
20.3931	1.27	77.24	7.53	5.55
64.3562	1.27	77.24	7.53	5.55
0.00651326	25.65	53.04	3.69	2.79
2.44547	4.05	112.20	6.82	3.84
26.1423	3.11	102.88	5.83	1.65
1.88093	1.54	11.28	8.15	3.06
858.337	1.39	94.97	14.46	7.86
5.22169	1.39	94.97	14.46	7.86
0.0712912	6.31	17.31	0.77	2.88
4.16173	1.96	137.69	4.86	2.02
6.88555	2.30	40.32	5.12	1.43
5.21793	2.44	133.91	7.30	1.69
15.884	2.44	133.91	7.30	1.69
0.328017	34.59	27.85	4.24	3.73
41.4267	1.19	107.80	8.62	7.76
29.3651	1.25	61.05	15.39	2.95
6.46401	1.86	124.30	11.51	2.56
4.3385	1.71	137.05	10.65	2.49
5.2304	1.71	137.05	10.65	2.49
2.81525	3.01	36.07	7.84	2.19
0.0944139	36.02	54.88	3.00	2.14
0.473667	26.53	43.98	2.36	3.24
1.31558	1.04	21.13	4.71	1.31
1.31558	7.20	28.07	4.21	3.25
1.18442	18.14	19.77	4.02	4.66
7.4496	3.41	76.73	5.80	7.03
76.9933	3.41	76.73	5.80	7.03
1.31558	23.97	63.14	3.54	3.69
0.123102	1.10	41.25	9.18	2.39
5.07771	1.10	41.25	9.18	2.39
9.30506	0.89	111.20	5.63	1.69
0.902884	3.77	138.36	8.82	1.66
20.412	3.86	99.17	5.23	2.29
20.1043	1.54	49.93	20.98	9.71
0	1.54	49.93	20.98	9.71
23.3775	1.35	43.11	26.18	5.51
12.5799	1.65	63.22	10.20	2.98
0.339371	1.73	8.04	11.40	3.32
0	0.53	41.58	7.11	0.79
